                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.90647,                 1.0329,                0.48432,                0.92671,                0.90262,                0.93123,                0.92218,                0.69851,                0.90593,                0.92997,                 0.9233,                0.66987,                 1.1309,                 1.3292,                0.63035,                 1.0237,               0.006502,               0.006502,               0.006502
                     55,                 0.9027,                  1.028,                0.48564,                0.92446,                0.90207,                 0.9342,                0.92119,                0.69521,                0.90194,                0.93409,                0.92128,                0.66782,                 1.1415,                 1.3572,                0.63724,                 1.0299,               0.006436,               0.006436,               0.006436
                     56,                0.89707,                  1.032,                0.48243,                0.92208,                0.90443,                0.92677,                0.92248,                0.69715,                0.90481,                0.92723,                0.92282,                0.66912,                 1.1393,                 1.3682,                0.64032,                 1.0256,                0.00637,                0.00637,                0.00637
                     57,                0.88741,                 1.0172,                0.47512,                0.91713,                0.89854,                0.93724,                0.91586,                0.69415,                0.89927,                0.93803,                0.91711,                0.66225,                 1.1333,                 1.3712,                0.63696,                  1.026,               0.006304,               0.006304,               0.006304
                     58,                0.87919,                  1.008,                0.46983,                0.91479,                0.90741,                0.92984,                0.92222,                0.69623,                0.90741,                0.92984,                0.92224,                 0.6674,                 1.1451,                 1.3761,                0.63614,                 1.0322,               0.006238,               0.006238,               0.006238
                     59,                0.87544,                 1.0078,                0.47153,                 0.9159,                0.89992,                0.93687,                0.92359,                0.69854,                0.89989,                0.93689,                0.92362,                0.66781,                 1.1529,                 1.4034,                0.63435,                 1.0289,               0.006172,               0.006172,               0.006172
                     60,                0.87075,                0.99728,                0.46962,                0.91202,                0.89234,                0.94157,                0.92526,                0.69649,                0.89231,                0.94159,                0.92523,                0.66872,                 1.1531,                 1.3773,                0.63909,                 1.0403,               0.006106,               0.006106,               0.006106
                     61,                0.86492,                0.98773,                0.46589,                0.91171,                0.90372,                0.93607,                0.92085,                0.69512,                 0.9039,                0.93631,                0.92105,                0.66637,                 1.1463,                 1.4035,                0.63252,                 1.0355,                0.00604,                0.00604,                0.00604
                     62,                0.85357,                0.98051,                0.46022,                0.90871,                0.91023,                0.92646,                0.92279,                0.69553,                 0.9101,                0.92636,                0.92277,                0.66592,                 1.1444,                 1.4169,                0.63383,                 1.0402,               0.005974,               0.005974,               0.005974
                     63,                0.85177,                0.98204,                0.46014,                0.90979,                0.90625,                0.92499,                0.92304,                0.69602,                0.90655,                0.92533,                0.92303,                0.66477,                 1.1408,                 1.4273,                0.63442,                 1.0313,               0.005908,               0.005908,               0.005908
                     64,                0.84464,                 0.9707,                  0.456,                0.90532,                0.89678,                0.94094,                0.92192,                0.69493,                0.89675,                0.94096,                0.92206,                0.66418,                 1.1455,                 1.4278,                0.62977,                 1.0372,               0.005842,               0.005842,               0.005842
                     65,                0.83871,                0.96459,                0.45361,                0.90388,                0.90386,                0.92497,                 0.9197,                0.69375,                 0.9046,                0.92576,                0.92055,                0.66397,                 1.1459,                 1.4306,                0.63949,                 1.0351,               0.005776,               0.005776,               0.005776
                     66,                0.83181,                0.96127,                 0.4503,                0.90198,                0.89734,                0.93406,                0.92222,                0.69498,                0.89774,                0.93452,                0.92291,                0.66357,                 1.1517,                 1.4406,                0.63745,                 1.0411,                0.00571,                0.00571,                0.00571
                     67,                0.82443,                0.95278,                0.44681,                 0.8994,                0.89402,                0.93757,                0.91977,                0.69477,                0.89399,                0.93758,                0.91964,                0.66406,                 1.1474,                 1.4608,                0.63341,                 1.0409,               0.005644,               0.005644,               0.005644
                     68,                0.81981,                0.95131,                0.44363,                0.89868,                0.90426,                0.93012,                0.91718,                0.68878,                  0.904,                0.92991,                0.91704,                0.66151,                   1.16,                 1.4734,                0.64178,                 1.0418,               0.005578,               0.005578,               0.005578
                     69,                0.81371,                0.93666,                0.44217,                 0.8983,                0.90783,                0.92582,                0.91716,                0.69084,                0.90767,                0.92573,                0.91694,                 0.6605,                 1.1578,                 1.4815,                0.65008,                 1.0451,               0.005512,               0.005512,               0.005512
                     70,                0.81207,                0.94081,                 0.4423,                0.89769,                0.89562,                0.92926,                0.91497,                0.68875,                0.89681,                 0.9305,                0.91653,                0.65969,                 1.1607,                 1.4472,                0.65089,                 1.0481,               0.005446,               0.005446,               0.005446
                     71,                0.80745,                0.93399,                0.44286,                0.89622,                0.91093,                0.93403,                0.91988,                0.69252,                0.91154,                0.93471,                0.92091,                0.66745,                 1.1613,                 1.4834,                0.63699,                 1.0497,                0.00538,                0.00538,                0.00538
                     72,                0.80107,                0.93026,                0.43754,                0.89382,                0.90306,                0.93336,                0.91476,                0.68798,                 0.9038,                0.93415,                0.91593,                0.66205,                 1.1676,                 1.4679,                0.64575,                  1.053,               0.005314,               0.005314,               0.005314
                     73,                0.79531,                0.92536,                0.43528,                0.89033,                0.91128,                0.93044,                0.92455,                0.69515,                 0.9119,                0.93113,                0.92571,                0.66998,                 1.1564,                 1.4844,                0.63795,                  1.045,               0.005248,               0.005248,               0.005248
                     74,                0.78718,                0.91646,                0.43053,                0.89252,                0.90636,                0.93027,                0.92229,                0.69223,                0.90667,                0.93061,                0.92251,                0.66531,                 1.1666,                 1.5174,                0.64746,                 1.0485,               0.005182,               0.005182,               0.005182
                     75,                0.78338,                0.90827,                0.43084,                0.88919,                0.90848,                0.92834,                0.91625,                0.68902,                0.90967,                0.92958,                0.91744,                0.66031,                 1.1618,                 1.5188,                0.64977,                 1.0504,               0.005116,               0.005116,               0.005116
                     76,                0.77496,                0.90586,                0.42462,                0.88544,                0.91191,                0.92843,                0.91904,                0.69084,                0.91239,                0.92901,                0.91888,                0.66511,                 1.1668,                 1.5259,                0.64442,                 1.0529,                0.00505,                0.00505,                0.00505
                     77,                0.77641,                0.90606,                0.42769,                0.88638,                 0.9109,                0.93039,                 0.9221,                0.69695,                0.91173,                 0.9313,                0.92288,                0.66986,                 1.1558,                 1.5051,                0.63296,                 1.0458,               0.004984,               0.004984,               0.004984
