                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.7183,                0.80561,                 1.8773,                0.90477,                 0.9201,                0.92057,                0.70096,                 1.9868,                 1.1313,                 2.0462,               0.005446,               0.005446,               0.005446
                     71,                 1.7045,                0.80524,                 1.8707,                0.90148,                0.91846,                0.91994,                0.70005,                 1.9782,                 1.1291,                 2.0541,                0.00538,                0.00538,                0.00538
                     72,                 1.7076,                0.80727,                  1.869,                0.90186,                   0.91,                0.91893,                0.69777,                 1.9957,                 1.1778,                 2.0718,               0.005314,               0.005314,               0.005314
                     73,                 1.6957,                0.79028,                 1.8619,                0.90146,                0.91882,                0.91809,                0.69895,                 1.9922,                  1.172,                 2.0594,               0.005248,               0.005248,               0.005248
                     74,                  1.675,                  0.775,                 1.8645,                0.89475,                0.91225,                0.91364,                0.69826,                 1.9841,                 1.2227,                 2.0513,               0.005182,               0.005182,               0.005182
                     75,                  1.678,                0.78396,                 1.8582,                0.89658,                0.91578,                0.91532,                0.69708,                 1.9944,                  1.191,                 2.0636,               0.005116,               0.005116,               0.005116
                     76,                 1.6611,                0.77116,                 1.8524,                0.90142,                0.89872,                0.91758,                0.69935,                 1.9861,                 1.2212,                 2.0596,                0.00505,                0.00505,                0.00505
                     77,                  1.669,                0.77271,                 1.8529,                0.90042,                0.91718,                0.91531,                0.69522,                 1.9999,                 1.1864,                 2.0556,               0.004984,               0.004984,               0.004984
                     78,                 1.6592,                0.77351,                 1.8531,                0.90258,                0.91116,                0.91779,                0.69872,                 1.9963,                 1.1907,                 2.0568,               0.004918,               0.004918,               0.004918
                     79,                 1.6511,                 0.7683,                 1.8526,                0.89669,                0.91852,                0.92312,                0.69831,                 2.0123,                 1.1621,                 2.0699,               0.004852,               0.004852,               0.004852
                     80,                 1.6264,                0.75233,                 1.8508,                0.89442,                0.90613,                 0.9146,                 0.6951,                 2.0102,                 1.2102,                 2.0672,               0.004786,               0.004786,               0.004786
                     81,                 1.6258,                0.75338,                 1.8464,                0.89487,                0.91042,                0.91574,                0.69265,                  2.012,                 1.2218,                  2.074,                0.00472,                0.00472,                0.00472
                     82,                 1.6248,                0.76097,                 1.8423,                0.90465,                0.91015,                0.91852,                0.69324,                 2.0372,                 1.2288,                 2.0852,               0.004654,               0.004654,               0.004654
                     83,                 1.6125,                 0.7523,                 1.8359,                0.89651,                 0.9174,                0.91303,                0.69308,                 2.0065,                 1.2138,                 2.0747,               0.004588,               0.004588,               0.004588
                     84,                 1.6026,                0.73987,                 1.8321,                0.90477,                0.91056,                0.91519,                0.69349,                  2.017,                 1.2221,                  2.076,               0.004522,               0.004522,               0.004522
                     85,                 1.6035,                0.75432,                 1.8367,                0.90419,                0.91521,                0.91783,                0.69731,                 2.0155,                 1.1998,                 2.0797,               0.004456,               0.004456,               0.004456
                     86,                 1.5974,                0.74235,                 1.8359,                0.90677,                0.91565,                0.91765,                0.69592,                 2.0116,                 1.1894,                 2.0744,                0.00439,                0.00439,                0.00439
                     87,                  1.592,                0.74076,                 1.8326,                0.90461,                0.91383,                0.91498,                0.69255,                 2.0201,                 1.2413,                 2.0808,               0.004324,               0.004324,               0.004324
                     88,                 1.5835,                 0.7334,                 1.8289,                 0.9004,                0.91584,                0.91625,                0.69131,                 2.0503,                 1.2462,                 2.0972,               0.004258,               0.004258,               0.004258
                     89,                 1.5788,                0.73252,                 1.8231,                0.90378,                 0.9062,                0.91387,                0.69184,                  2.031,                 1.2537,                 2.0928,               0.004192,               0.004192,               0.004192
                     90,                 1.5578,                0.72386,                 1.8213,                 0.9031,                0.91496,                0.91639,                 0.6929,                 2.0412,                 1.2586,                 2.0958,               0.004126,               0.004126,               0.004126
                     91,                 1.5584,                  0.727,                 1.8174,                0.90605,                0.90953,                0.91563,                0.69254,                 2.0392,                 1.2693,                  2.098,                0.00406,                0.00406,                0.00406
                     92,                 1.5498,                0.71405,                  1.813,                0.90409,                0.90976,                0.91709,                0.69359,                 2.0251,                 1.2549,                 2.0877,               0.003994,               0.003994,               0.003994
                     93,                 1.5347,                0.71165,                 1.8194,                0.90484,                0.91431,                0.91659,                0.69423,                  2.026,                 1.2354,                 2.0915,               0.003928,               0.003928,               0.003928
                     94,                 1.5322,                0.70161,                 1.8154,                0.90892,                 0.9124,                 0.9156,                 0.6924,                 2.0209,                  1.233,                 2.0877,               0.003862,               0.003862,               0.003862
                     95,                 1.5271,                0.70251,                 1.8131,                0.90024,                0.90766,                0.91422,                 0.6902,                 2.0332,                 1.2511,                 2.0934,               0.003796,               0.003796,               0.003796
                     96,                 1.5078,                0.70316,                 1.8057,                0.89978,                 0.9148,                  0.911,                0.68773,                 2.0336,                 1.2688,                 2.0917,                0.00373,                0.00373,                0.00373
                     97,                 1.5039,                0.69662,                 1.7989,                0.90943,                0.91144,                 0.9172,                0.69105,                 2.0349,                 1.2332,                  2.095,               0.003664,               0.003664,               0.003664
                     98,                 1.4961,                0.69192,                 1.7993,                0.90798,                 0.9158,                 0.9151,                0.68756,                  2.053,                 1.2152,                 2.1092,               0.003598,               0.003598,               0.003598
                     99,                 1.5053,                0.70089,                 1.8059,                0.90309,                0.91386,                0.91569,                0.69118,                 2.0367,                 1.2283,                 2.1048,               0.003532,               0.003532,               0.003532
                    100,                 1.4909,                0.68709,                 1.7987,                0.90088,                0.91174,                0.91377,                0.68813,                 2.0445,                  1.263,                 2.1169,               0.003466,               0.003466,               0.003466
                    101,                 1.4746,                0.68788,                 1.8005,                0.90435,                0.91174,                0.91723,                0.69083,                 2.0387,                 1.2442,                 2.1132,                 0.0034,                 0.0034,                 0.0034
                    102,                 1.4807,                0.68439,                 1.7973,                0.90035,                0.91809,                0.91647,                0.69255,                 2.0311,                 1.2429,                    2.1,               0.003334,               0.003334,               0.003334
                    103,                 1.4881,                0.68933,                 1.8003,                0.90872,                0.90823,                0.91518,                0.69103,                 2.0367,                 1.2647,                 2.1035,               0.003268,               0.003268,               0.003268
                    104,                 1.4661,                0.68066,                  1.792,                 0.9018,                0.91516,                0.91767,                0.69165,                 2.0345,                 1.2405,                 2.1018,               0.003202,               0.003202,               0.003202
                    105,                 1.4542,                0.67477,                 1.7935,                0.90667,                0.91451,                0.91875,                 0.6913,                 2.0443,                  1.253,                 2.1081,               0.003136,               0.003136,               0.003136
                    106,                 1.4498,                 0.6749,                 1.7863,                0.90212,                 0.9168,                0.91658,                0.69163,                 2.0495,                 1.2613,                 2.1151,                0.00307,                0.00307,                0.00307
                    107,                 1.4457,                0.66974,                 1.7872,                0.90417,                0.91216,                0.91258,                0.68564,                 2.0572,                 1.2954,                 2.1209,               0.003004,               0.003004,               0.003004
                    108,                 1.4349,                 0.6681,                 1.7788,                0.90741,                 0.9098,                0.91848,                0.69237,                 2.0456,                 1.2572,                 2.1141,               0.002938,               0.002938,               0.002938
                    109,                 1.4284,                0.65831,                 1.7852,                0.90839,                0.90616,                0.91915,                 0.6944,                 2.0469,                 1.2536,                 2.1172,               0.002872,               0.002872,               0.002872
                    110,                 1.4298,                0.66495,                 1.7832,                0.90485,                0.91494,                0.92073,                0.69316,                 2.0484,                 1.2427,                 2.1145,               0.002806,               0.002806,               0.002806
                    111,                 1.4257,                0.66331,                 1.7814,                0.90924,                0.91265,                0.91723,                0.68959,                 2.0525,                 1.2661,                  2.121,                0.00274,                0.00274,                0.00274
                    112,                 1.4148,                0.65927,                 1.7795,                0.91035,                0.91331,                0.92134,                0.69541,                 2.0401,                 1.2313,                  2.108,               0.002674,               0.002674,               0.002674
                    113,                 1.4025,                0.65036,                 1.7726,                0.90755,                0.91752,                0.92114,                0.69494,                 2.0475,                 1.2411,                 2.1178,               0.002608,               0.002608,               0.002608
                    114,                 1.3976,                0.65119,                 1.7736,                0.90608,                0.92122,                0.91988,                0.69436,                 2.0434,                 1.2613,                 2.1173,               0.002542,               0.002542,               0.002542
